class,DUM1178,DUM1154,DUM1297,DUM1144,DUM1150,DUM1160,DUM1180,DUM1303,DUM1142,DUM1148
DUM1178,,0.992114081996435,0.9882034632034632,0.9910333145115754,0.9908571428571428,0.975,0.8669233722358721,0.961060606060606,1.0,0.942431906196612
DUM1154,0.992114081996435,,0.6038507244389598,0.9714285714285715,1.0,0.9547619047619047,1.0,0.7809680515562869,0.7863644198938318,0.9741176470588236
DUM1297,0.9882034632034632,0.6038507244389598,,0.9083760683760683,0.8099999999999999,0.8,1.0,0.5561904761904761,0.7733333333333333,0.9805347593582887
DUM1144,0.9910333145115754,0.9714285714285715,0.9083760683760683,,0.7158424908424909,0.5825091575091574,1.0,0.9547652347652347,0.9259259259259259,0.9141297917768506
DUM1150,0.9908571428571428,1.0,0.8099999999999999,0.7158424908424909,,0.8444444444444444,1.0,0.96,1.0,0.96
DUM1160,0.975,0.9547619047619047,0.8,0.5825091575091574,0.8444444444444444,,0.9561904761904761,0.9561904761904761,0.8761904761904763,0.9482352941176471
DUM1180,0.8669233722358721,1.0,1.0,1.0,1.0,0.9561904761904761,,1.0,1.0,0.9825108225108226
DUM1303,0.961060606060606,0.7809680515562869,0.5561904761904761,0.9547652347652347,0.96,0.9561904761904761,1.0,,0.96,0.9772549019607844
DUM1142,1.0,0.7863644198938318,0.7733333333333333,0.9259259259259259,1.0,0.8761904761904763,1.0,0.96,,1.0
DUM1148,0.942431906196612,0.9741176470588236,0.9805347593582887,0.9141297917768506,0.96,0.9482352941176471,0.9825108225108226,0.9772549019607844,1.0,
