class,DUM1178,DUM1154,DUM1297,DUM1144,DUM1150,DUM1160,DUM1180,DUM1303,DUM1142,DUM1148
DUM1178,,0.9829318241520095,0.9600420126042015,0.977430215807459,0.9586984095231745,0.8611111111111112,0.5047373020047896,0.8567880364121375,1.0,0.8752611828296752
DUM1154,0.9829318241520095,,0.006826765601604064,0.95,1.0,0.9030931089239487,1.0,0.4750144932049119,0.5143431246387495,0.9513834207376395
DUM1297,0.9600420126042015,0.006826765601604064,,0.8023715784073818,0.6666666666666666,0.6,1.0,0.14142135623730953,0.5666666666666667,0.9539600717839003
DUM1144,0.977430215807459,0.95,0.8023715784073818,,0.28869277546790567,-0.11942110754051326,1.0,0.9092996722121098,0.8333333333333334,0.833414502102104
DUM1150,0.9586984095231745,1.0,0.6666666666666666,0.28869277546790567,,0.7480056452854308,1.0,0.9333333333333333,1.0,0.9055050463303893
DUM1160,0.8611111111111112,0.9030931089239487,0.6,-0.11942110754051326,0.7480056452854308,,0.9224744871391589,0.9224744871391589,0.7558078204724923,0.85760732062316
DUM1180,0.5047373020047896,1.0,1.0,1.0,1.0,0.9224744871391589,,1.0,1.0,0.9620185174601964
DUM1303,0.8567880364121375,0.4750144932049119,0.14142135623730953,0.9092996722121098,0.9333333333333333,0.9224744871391589,1.0,,0.9333333333333332,0.9333333333333333
DUM1142,1.0,0.5143431246387495,0.5666666666666667,0.8333333333333334,1.0,0.7558078204724923,1.0,0.9333333333333332,,1.0
DUM1148,0.8752611828296752,0.9513834207376395,0.9539600717839003,0.833414502102104,0.9055050463303893,0.85760732062316,0.9620185174601964,0.9333333333333333,1.0,
